key,ru,ro,en
"menu.fish.title","Рыба на гриле","Pește la grătar","Grilled fish"
"menu.fish.steak-sturion.name","Стейк из осетра","Steak Sturion","Sturgeon steak"
"menu.fish.steak-sturion.desc","Стейк из осетра","Steak de sturion","Sturgeon steak"
"menu.fish.dorada.name","Dorada","Dorada","Dorada"
"menu.fish.dorada.desc","Дорада","Doradă","Sea bream"
"menu.fish.steak-somon.name","Стейк из лосося","Steak Somon","Salmon steak"
"menu.fish.steak-somon.desc","Стейк из сёмги","Steak de somon","Salmon steak"
"menu.fish.pastrav.name","Форель","Păstrăv","Trout"
"menu.fish.pastrav.desc","Форель","Păstrăv","Trout"
"menu.grill-special.title","Особые блюда на гриле","Specialități la grătar","Grill specialties"
"menu.grill-special.costite-de-miel.name","Рёбрышки ягнёнка","Costițe de miel","Lamb ribs"
"menu.grill-special.costite-de-miel.desc","Каре ягнёнка","Cotlete de miel","Rack of lamb"
"menu.grill-special.pui-la-gratar-cu-legume.name","Курица на гриле с овощами","Pui la grătar cu legume","Grilled chicken with vegetables"
"menu.grill-special.pui-la-gratar-cu-legume.desc","Целый цыплёнок с овощами гриль","Pui întreg cu legume la grătar","Whole chicken with grilled vegetables"
"menu.grill-special.costite-de-porc.name","Свиные рёбрышки","Costițe de porc","Pork ribs"
"menu.grill-special.costite-de-porc.desc","Свиные рёбрышки с хрустящей корочкой","Costițe de porc cu crustă crocantă","Crispy pork ribs"
"menu.grill-special.abhazura.name","Abhazura","Abhazura","Abhazura"
"menu.grill-special.abhazura.desc","Абхазура — пикантные мясные шарики в жировой сетке","Abhazura — chiftele picante în prapure","Abkhazura — spicy meatballs in caul fat"
"menu.mains.title","Горячие блюда","Feluri principale","Main courses"
"menu.mains.chakapuli.name","Chakapuli","Chakapuli","Chakapuli"
"menu.mains.chakapuli.desc","Ягнёнок с тархуном и ткемали","Miel cu tarhon și tkemali","Lamb with tarragon and tkemali"
"menu.mains.odjahuri.name","Odjahuri","Odjahuri","Odjahuri"
"menu.mains.odjahuri.desc","Оджахури — жаркое «по-домашнему»","Odjahuri — mâncare „ca acasă”","Ojakhuri — a homestyle roast"
"menu.mains.odjahuri.variant.0","Свинина","Porc","Pork"
"menu.mains.odjahuri.variant.1","Телятина","Vițel","Veal"
"menu.mains.odjahuri.variant.2","Ягнёнок","Miel","Lamb"
"menu.mains.odjahuri.variant.3","Грибы","Ciuperci","Mushrooms"
"menu.mains.ceashushuli.name","Ceashushuli","Ceashushuli","Ceashushuli"
"menu.mains.ceashushuli.desc","Чашушули — острое томлёное мясо","Ceashushuli — carne înăbușită picantă","Chashushuli — spicy stewed meat"
"menu.mains.ceashushuli.variant.0","Телятина","Vițel","Veal"
"menu.mains.ceashushuli.variant.1","Ягнёнок","Miel","Lamb"
"menu.mains.chakhokhbili.name","Chakhokhbili","Chakhokhbili","Chakhokhbili"
"menu.mains.chakhokhbili.desc","Чахохбили — курица в томатах с зеленью","Chakhokhbili — pui în roșii cu verdeață","Chakhokhbili — chicken in tomatoes with herbs"
"menu.mains.tvini.name","Tvini","Tvini","Tvini"
"menu.mains.tvini.desc","Твини — мозги, томлённые в масле","Tvini — creier gătit în unt","Tvini — brains simmered in butter"
"menu.garnish.title","Гарниры","Garnituri","Side dishes"
"menu.garnish.legume-la-gratar.name","Овощи на гриле","Legume la grătar","Grilled vegetables"
"menu.garnish.legume-la-gratar.desc","Сезонные овощи на открытом огне","Legume de sezon la foc deschis","Seasonal vegetables over an open flame"
"menu.garnish.gomi.name","Gomi","Gomi","Gomi"
"menu.garnish.gomi.desc","Гоми — кукурузная каша, символ гостеприимства","Gomi — terci de porumb, simbol al ospitalității","Gomi — cornmeal porridge, a symbol of hospitality"
"menu.garnish.felii-de-cartofi-cu-usturoi.name","Картофель дольками с чесноком","Felii de cartofi cu usturoi","Garlic potato wedges"
"menu.garnish.felii-de-cartofi-cu-usturoi.desc","Дольки картофеля с чесноком и зеленью","Felii de cartofi cu usturoi și verdeață","Potato wedges with garlic and herbs"
"menu.garnish.cartofi-pai.name","Картофель фри","Cartofi pai","French fries"
"menu.garnish.cartofi-pai.desc","Картофель пай","Cartofi pai","Shoestring fries"
"menu.bread.title","Хлеб и соусы","Pâine și sosuri","Bread and sauces"
"menu.bread.note","Все соусы — 50 г · 25 лей: аджика, сацебели, мацони, ткемали, сметана/кетчуп.","Toate sosurile — 50 g · 25 lei: adjika, satsebeli, matsoni, tkemali, smântână/ketchup.","All sauces — 50 g · 25 lei: adjika, satsebeli, matsoni, tkemali, sour cream/ketchup."
"menu.bread.0.name","Șoti","Șoti","Șoti"
"menu.bread.0.desc","Шоти — хлеб со стен глиняной печи (тандыр)","Șoti — pâine coaptă pe pereții cuptorului de lut","Shoti — bread baked on the walls of a clay oven"
"menu.bread.1.name","Lavaș","Lavaș","Lavaș"
"menu.bread.1.desc","Тонкий лаваш для шашлыка","Lipie subțire pentru frigărui","Thin flatbread for grilled meat"
"menu.bread.2.name","Adjika · Satsebeli · Matsoni · Tkemali","Adjika · Satsebeli · Matsoni · Tkemali","Adjika · Satsebeli · Matsoni · Tkemali"
"menu.bread.2.desc","Домашние соусы к мясу и хлебу","Sosuri de casă pentru carne și pâine","Homemade sauces for meat and bread"
"menu.desserts.title","Десерты","Deserturi","Desserts"
"menu.desserts.napoleon.name","Napoleon","Napoleon","Napoleon"
"menu.desserts.napoleon.desc","Многослойный, с нежным ванильным кремом","Multe straturi, cu cremă fină de vanilie","Many layers with delicate vanilla cream"
"menu.desserts.karakum.name","Karakum","Karakum","Karakum"
"menu.desserts.karakum.desc","Каракум — шоколад, орехи, вкус детства","Karakum — ciocolată, nuci, gustul copilăriei","Karakum — chocolate, nuts, the taste of childhood"
"menu.desserts.2.name","Маковый рулет","Coptură cu mac","Poppy seed roll"
"menu.desserts.2.desc","Домашняя выпечка с маковой начинкой","Prăjitură de casă cu mac","Homemade poppy-seed cake"
"menu.desserts.3.name","Înghețată","Înghețată","Înghețată"
"menu.desserts.3.desc","Крафтовое мороженое, сорта в ассортименте","Înghețată artizanală, sortimente diverse","Craft ice cream, assorted flavours"
"menu.desserts.4.name","Matzoni","Matzoni","Matzoni"
"menu.desserts.4.desc","Мацони с мёдом и грецким орехом","Matsoni cu miere și nuci","Matsoni with honey and walnuts"
"bar.bar-tea.title","Чай","Ceai","Tea"
"bar.bar-tea.note","Авторские чаи — тепло и природные ароматы в каждой чашке.","Ceaiuri de autor — căldură și arome naturale în fiecare cană.","House teas — warmth and natural aromas in every cup."
"bar.bar-tea.0.name","Gamarjoba Tea","Gamarjoba Tea","Gamarjoba Tea"
"bar.bar-tea.0.desc","Секретный сбор горных трав и цветов Сванетии, собранных вручную","Amestec secret de ierburi și flori de munte din Svaneti, culese manual","A secret blend of hand-picked Svaneti mountain herbs and flowers"
"bar.bar-tea.1.name","Fresh Berries Tea","Fresh Berries Tea","Fresh Berries Tea"
"bar.bar-tea.1.desc","Витаминный взрыв сочных лесных ягод, кисло-сладкий","Explozie vitaminizantă de fructe de pădure, dulce-acrișor","A vitamin burst of forest berries, sweet and tart"
"bar.bar-tea.2.name","Каркаде с гранатом","Hibiscus cu rodie","Hibiscus with pomegranate"
"bar.bar-tea.2.desc","Каркаде с гранатом — освежающий, с лёгкой кислинкой","Hibiscus cu rodie — răcoritor, ușor acrișor","Hibiscus with pomegranate — refreshing, lightly tart"
"bar.bar-tea.3.name","Winter Tea","Winter Tea","Winter Tea"
"bar.bar-tea.3.desc","«Оранжевое золото» зимы: облепиха с пряными специями","„Aurul portocaliu” al iernii: cătină cu mirodenii","Winter's “orange gold”: sea buckthorn with warm spices"
"bar.bar-tea.4.name","Чёрный чай Althaus","Ceai negru Althaus","Althaus black tea"
"bar.bar-tea.4.desc","Чёрный: Assam · Earl Grey · Mountain Herbs","Negru: Assam · Earl Grey · Mountain Herbs","Black: Assam · Earl Grey · Mountain Herbs"
"bar.bar-tea.5.name","Зелёный чай Althaus","Ceai verde Althaus","Althaus green tea"
"bar.bar-tea.5.desc","Зелёный: Sencha Senpai · Jasmin Ting Yuan · Milk Oolong","Verde: Sencha Senpai · Jasmin Ting Yuan · Milk Oolong","Green: Sencha Senpai · Jasmin Ting Yuan · Milk Oolong"
"bar.bar-tea.6.name","Травяной чай","Ceai din plante","Herbal tea"
"bar.bar-tea.6.desc","Травяной: Rooibos Vanilla, без кофеина","Din plante: Rooibos Vanilla, fără cofeină","Herbal: Rooibos Vanilla, caffeine-free"
"bar.bar-coffee.title","Кофе","Cafea","Coffee"
"bar.bar-coffee.note","Свежеобжаренное зерно. Растительное молоко (миндаль/кокос) — +15 лей.","Cafea proaspăt prăjită. Lapte vegetal (migdale/cocos) — +15 lei.","Freshly roasted beans. Plant milk (almond/coconut) — +15 lei."
"bar.bar-coffee.0.name","Espresso","Espresso","Espresso"
"bar.bar-coffee.1.name","Doppio","Doppio","Doppio"
"bar.bar-coffee.2.name","Americano","Americano","Americano"
"bar.bar-coffee.3.name","Cappuccino","Cappuccino","Cappuccino"
"bar.bar-coffee.4.name","Latte","Latte","Latte"
"bar.bar-coffee.5.name","Какао с маршмеллоу","Cacao cu Marshmallow","Cocoa with marshmallow"
"bar.bar-coffee.5.desc","Тёплый сливочный напиток с воздушным маршмэллоу","Băutură caldă și cremoasă cu bezele pufoase","A warm creamy drink with fluffy marshmallows"
"bar.bar-coffee.6.name","Ice Cappuccino","Ice Cappuccino","Ice Cappuccino"
"bar.bar-coffee.6.desc","Классика капучино со льдом","Gustul clasic de cappuccino, cu gheață","Classic cappuccino over ice"
"bar.bar-coffee.7.name","Ice Bumblebee","Ice Bumblebee","Ice Bumblebee"
"bar.bar-coffee.7.desc","Многослойный микс эспрессо, апельсинового фреша и карамели","Mix stratificat de espresso, fresh de portocale și caramel","A layered mix of espresso, fresh orange and caramel"
"bar.bar-coffee.8.name","Espresso Tonic","Espresso Tonic","Espresso Tonic"
"bar.bar-coffee.8.desc","Крепкий эспрессо и игристый тоник","Espresso intens și tonic acidulat","Bold espresso and sparkling tonic"
"bar.bar-chacha.title","Чача","Chacha","Chacha"
"bar.bar-chacha.0.name","Chacha Collection","Chacha Collection","Chacha Collection"
"bar.bar-chacha.0.desc","Домашняя чача — рюмка 50 мл или бутылка 0,5 л","Chacha de casă — păhărel 50 ml sau sticlă 0,5 l","House chacha — a 50 ml shot or a 0.5 l bottle"
"bar.bar-chacha.0.variant.0","Muscat · 50 ml","Muscat · 50 ml","Muscat · 50 ml"
"bar.bar-chacha.0.variant.1","Muscat · 0,5 l","Muscat · 0,5 l","Muscat · 0,5 l"
"bar.bar-chacha.0.variant.2","Слива · 50 ml","Prune · 50 ml","Plum · 50 ml"
"bar.bar-chacha.0.variant.3","Слива · 0,5 l","Prune · 0,5 l","Plum · 0,5 l"
"bar.bar-chacha.0.variant.4","Черешня · 50 ml","Cireșe · 50 ml","Cherry · 50 ml"
"bar.bar-chacha.0.variant.5","Черешня · 0,5 l","Cireșe · 0,5 l","Cherry · 0,5 l"
"bar.bar-chacha.0.variant.6","Перец · 50 ml","Piper · 50 ml","Pepper · 50 ml"
"bar.bar-chacha.0.variant.7","Перец · 0,5 l","Piper · 0,5 l","Pepper · 0,5 l"
"bar.bar-chacha.0.variant.8","Айва · 50 ml","Gutuie · 50 ml","Quince · 50 ml"
"bar.bar-chacha.0.variant.9","Айва · 0,5 l","Gutuie · 0,5 l","Quince · 0,5 l"
"bar.bar-chacha.1.name","Сет чачи","Chacha Set","Chacha set"
"bar.bar-chacha.1.desc","Дегустационный сет — 5 рюмок","Set de degustare — 5 păhărele","Tasting set — 5 shots"
"bar.bar-wine.title","Вино","Vin","Wine"
"bar.bar-wine.note","Домашний купаж создан эксклюзивно для Gamarjoba. Вина Грузии — бутылка 750 мл.","Cupajul casei e creat exclusiv pentru Gamarjoba. Vinuri georgiene — sticlă 750 ml.","The house blend is made exclusively for Gamarjoba. Georgian wines — 750 ml bottle."
"bar.bar-wine.0.name","Vinul Casei","Vinul Casei","Vinul Casei"
"bar.bar-wine.0.desc","Фирменное вино: бокал 150 мл или графин 1 л","Vinul casei: pahar 150 ml sau carafă 1 l","House wine: a 150 ml glass or a 1 l carafe"
"bar.bar-wine.0.variant.0","Rkatsiteli (белое сухое) · бокал","Rkatsiteli (alb sec) · pahar","Rkatsiteli (dry white) · glass"
"bar.bar-wine.0.variant.1","Rkatsiteli · графин 1 л","Rkatsiteli · carafă 1 l","Rkatsiteli · 1 l carafe"
"bar.bar-wine.0.variant.2","Pirosmani (розе сухое) · бокал","Pirosmani (rose sec) · pahar","Pirosmani (dry rosé) · glass"
"bar.bar-wine.0.variant.3","Pirosmani · графин 1 л","Pirosmani · carafă 1 l","Pirosmani · 1 l carafe"
"bar.bar-wine.0.variant.4","Saperavi (красное сухое) · бокал","Saperavi (roșu sec) · pahar","Saperavi (dry red) · glass"
"bar.bar-wine.0.variant.5","Saperavi · графин 1 л","Saperavi · carafă 1 l","Saperavi · 1 l carafe"
"bar.bar-wine.0.variant.6","Kindzmarauli (красное полусухое) · бокал","Kindzmarauli (roșu demisec) · pahar","Kindzmarauli (semi-dry red) · glass"
"bar.bar-wine.0.variant.7","Kindzmarauli · графин 1 л","Kindzmarauli · carafă 1 l","Kindzmarauli · 1 l carafe"
"bar.bar-wine.1.name","Белые вина Грузии","Vinuri albe georgiene","Georgian white wines"
"bar.bar-wine.1.desc","Alb / White · 750 мл","Alb / White · 750 ml","White · 750 ml"
"bar.bar-wine.1.variant.0","Kakhuri Mtsvane (сухое)","Kakhuri Mtsvane (sec)","Kakhuri Mtsvane (dry)"
"bar.bar-wine.1.variant.1","Tsinandali (сухое)","Tsinandali (sec)","Tsinandali (dry)"
"bar.bar-wine.1.variant.2","Tbilisuri (полусухое)","Tbilisuri (demisec)","Tbilisuri (semi-dry)"
"bar.bar-wine.1.variant.3","Mtsvane (сухое)","Mtsvane (sec)","Mtsvane (dry)"
"bar.bar-wine.1.variant.4","Tvishi (полусладкое)","Tvishi (demidulce)","Tvishi (semi-sweet)"
"bar.bar-wine.2.name","Saperavi Rose","Saperavi Rose","Saperavi Rose"
"bar.bar-wine.2.desc","Розе сухое · 750 мл","Rose sec · 750 ml","Dry rosé · 750 ml"
"bar.bar-wine.3.name","Красные вина Грузии","Vinuri roșii georgiene","Georgian red wines"
"bar.bar-wine.3.desc","Roșu / Red · 750 мл","Roșu / Red · 750 ml","Red · 750 ml"
"bar.bar-wine.3.variant.0","Saperavi (сухое)","Saperavi (sec)","Saperavi (dry)"
"bar.bar-wine.3.variant.1","Kvareli (сухое)","Kvareli (sec)","Kvareli (dry)"
"bar.bar-wine.3.variant.2","Kindzmarauli (полусладкое)","Kindzmarauli (demidulce)","Kindzmarauli (semi-sweet)"
"bar.bar-wine.3.variant.3","Mukuzani (сухое)","Mukuzani (sec)","Mukuzani (dry)"
"bar.bar-wine.3.variant.4","Khvanchkara (полусладкое)","Khvanchkara (demidulce)","Khvanchkara (semi-sweet)"
"bar.bar-cocktails.title","Коктейли и игристое","Cocktailuri și spumante","Cocktails and sparkling"
"bar.bar-cocktails.0.name","Chacha Basil Sour","Chacha Basil Sour","Chacha Basil Sour"
"bar.bar-cocktails.0.desc","Крепость чачи и свежесть базилика с бархатистой текстурой","Tăria chachei și prospețimea busuiocului, cu textură catifelată","The strength of chacha and freshness of basil, velvety smooth"
"bar.bar-cocktails.1.name","Kindzmarauli Spritz","Kindzmarauli Spritz","Kindzmarauli Spritz"
"bar.bar-cocktails.1.desc","Грузинский ответ классике: киндзмараули, апельсин, пузырьки","Răspunsul georgian la clasic: Kindzmarauli, portocală, bule","Georgia's answer to the classic: Kindzmarauli, orange, bubbles"
"bar.bar-cocktails.2.name","Tbilisi Sangria","Tbilisi Sangria","Tbilisi Sangria"
"bar.bar-cocktails.2.desc","Свежие фрукты и выдержанное красное вино","Fructe proaspete și vin roșu maturat","Fresh fruit and aged red wine"
"bar.bar-cocktails.3.name","Suliko Martini","Suliko Martini","Suliko Martini"
"bar.bar-cocktails.3.desc","Экзотический микс чачи и гранатового ликёра","Mix exotic de chacha și lichior de rodie","An exotic mix of chacha and pomegranate liqueur"
"bar.bar-cocktails.4.name","Игристые вина","Vinuri spumante","Sparkling wines"
"bar.bar-cocktails.4.desc","750 мл","750 ml","750 ml"
"bar.bar-cocktails.4.variant.0","Cricova Crisecco (brut)","Cricova Crisecco (brut)","Cricova Crisecco (brut)"
"bar.bar-cocktails.4.variant.1","Cricova Lacrima Dulce","Cricova Lacrima Dulce","Cricova Lacrima Dulce"
"bar.bar-cocktails.4.variant.2","Serena 1881 Prosecco DOC Treviso","Serena 1881 Prosecco DOC Treviso","Serena 1881 Prosecco DOC Treviso"
"bar.bar-cocktails.4.variant.3","Asti Serena 1881 D.O.C.G.","Asti Serena 1881 D.O.C.G.","Asti Serena 1881 D.O.C.G."
"bar.bar-cocktails.4.variant.4","Cricova Blanc de Noirs","Cricova Blanc de Noirs","Cricova Blanc de Noirs"
"bar.bar-strong.title","Крепкие напитки","Băuturi tari","Strong drinks"
"bar.bar-strong.0.name","Водка","Vodcă","Vodka"
"bar.bar-strong.0.variant.0","Hortitsa Platinum","Hortitsa Platinum","Hortitsa Platinum"
"bar.bar-strong.0.variant.1","Absolut","Absolut","Absolut"
"bar.bar-strong.0.variant.2","Grey Goose","Grey Goose","Grey Goose"
"bar.bar-strong.1.name","Виски","Whiskey","Whiskey"
"bar.bar-strong.1.variant.0","Jameson","Jameson","Jameson"
"bar.bar-strong.1.variant.1","Jack Daniel's","Jack Daniel's","Jack Daniel's"
"bar.bar-strong.1.variant.2","Jack Daniel's Honey","Jack Daniel's Honey","Jack Daniel's Honey"
"bar.bar-strong.1.variant.3","Chivas 12 years old","Chivas 12 years old","Chivas 12 years old"
"bar.bar-strong.2.name","Ром · Текила · Джин","Rom · Tequila · Gin","Rum · Tequila · Gin"
"bar.bar-strong.2.variant.0","Captain Morgan Spiced Gold/Dark","Captain Morgan Spiced Gold/Dark","Captain Morgan Spiced Gold/Dark"
"bar.bar-strong.2.variant.1","Jose Cuervo Silver/Reposado","Jose Cuervo Silver/Reposado","Jose Cuervo Silver/Reposado"
"bar.bar-strong.2.variant.2","Gordon's London Dry Gin","Gordon's London Dry Gin","Gordon's London Dry Gin"
"bar.bar-strong.3.name","Коньяк и дивин","Cognac & Divin","Cognac & Divin"
"bar.bar-strong.3.variant.0","Cricova 5 лет","Cricova 5 ani","Cricova 5 years"
"bar.bar-strong.3.variant.1","Cricova 7 лет","Cricova 7 ani","Cricova 7 years"
"bar.bar-strong.3.variant.2","Bucuria 10 лет","Bucuria 10 ani","Bucuria 10 years"
"bar.bar-strong.3.variant.3","Hennessy VS","Hennessy VS","Hennessy VS"
"bar.bar-strong.4.name","Jagermeister","Jagermeister","Jagermeister"
"bar.bar-strong.4.desc","Дижестив","Digestiv","Digestif"
"bar.bar-beer.title","Пиво","Bere","Beer"
"bar.bar-beer.0.name","Gamarjoba Beer","Gamarjoba Beer","Gamarjoba Beer"
"bar.bar-beer.0.desc","Рекомендация дома: лагер с сиропом из граната","Recomandarea casei: bere lager cu sirop de rodie","The house special: lager with pomegranate syrup"
"bar.bar-beer.0.variant.0","330 ml","330 ml","330 ml"
"bar.bar-beer.0.variant.1","500 ml","500 ml","500 ml"
"bar.bar-beer.1.name","Разливное","La halbă (draft)","On draft"
"bar.bar-beer.1.variant.0","Efes Pilsener Lager · 500 ml","Efes Pilsener Lager · 500 ml","Efes Pilsener Lager · 500 ml"
"bar.bar-beer.1.variant.1","Hofbrau Original/Weisse · 330 ml","Hofbrau Original/Weisse · 330 ml","Hofbrau Original/Weisse · 330 ml"
"bar.bar-beer.1.variant.2","Hofbrau Original/Weisse · 500 ml","Hofbrau Original/Weisse · 500 ml","Hofbrau Original/Weisse · 500 ml"
"bar.bar-beer.1.variant.3","Hoegaarden · 330 ml","Hoegaarden · 330 ml","Hoegaarden · 330 ml"
"bar.bar-beer.1.variant.4","Hoegaarden · 500 ml","Hoegaarden · 500 ml","Hoegaarden · 500 ml"
"bar.bar-beer.1.variant.5","Franziskaner Weissbier · 330 ml","Franziskaner Weissbier · 330 ml","Franziskaner Weissbier · 330 ml"
"bar.bar-beer.1.variant.6","Franziskaner Weissbier · 500 ml","Franziskaner Weissbier · 500 ml","Franziskaner Weissbier · 500 ml"
"bar.bar-beer.2.name","Бутылочное","La sticlă","Bottled"
"bar.bar-beer.2.variant.0","Corona Extra / N/A · 330 ml","Corona Extra / N/A · 330 ml","Corona Extra / N/A · 330 ml"
"bar.bar-beer.2.variant.1","Leffe Blonde / Brune · 330 ml","Leffe Blonde / Brune · 330 ml","Leffe Blonde / Brune · 330 ml"
"bar.bar-beer.2.variant.2","Hofbrau Original / Weisse · 500 ml","Hofbrau Original / Weisse · 500 ml","Hofbrau Original / Weisse · 500 ml"
"bar.bar-soft.title","Лимонады и безалкогольное","Limonadă și băuturi soft","Lemonades and soft drinks"
"bar.bar-soft.0.name","Limonadă Georgiană","Limonadă Georgiană","Limonadă Georgiană"
"bar.bar-soft.0.desc","Домашние лимонады — натуральная свежесть","Limonade de casă — prospețime naturală","Homemade lemonades — natural freshness"
"bar.bar-soft.0.variant.0","Kiwi Basil — киви и базилик","Kiwi Basil — kiwi și busuioc","Kiwi Basil — kiwi and basil"
"bar.bar-soft.0.variant.1","Ruby Georgia — гранат и лесные ягоды","Ruby Georgia — rodie și fructe de pădure","Ruby Georgia — pomegranate and forest berries"
"bar.bar-soft.0.variant.2","Pear Flower — груша и цветы бузины","Pear Flower — pară și flori de soc","Pear Flower — pear and elderflower"
"bar.bar-soft.1.name","Zedazeni","Zedazeni","Zedazeni"
"bar.bar-soft.1.desc","Грузинский лимонад: тархун, груша, крем-сода, лимон, фейхоа, саперави","Limonadă georgiană: tarhon, pere, crem-soda, lămâie, feijoa, saperavi","Georgian lemonade: tarragon, pear, cream soda, lemon, feijoa, saperavi"
"bar.bar-soft.2.name","Compot","Compot","Compot"
"bar.bar-soft.2.desc","Домашний компот из отборных фруктов","Compot de casă din fructe alese","Homemade fruit compote"
"bar.bar-soft.3.name","Mors","Mors","Mors"
"bar.bar-soft.3.desc","Морс из лесных ягод","Mors din fructe de pădure","Forest berry mors"
"bar.bar-soft.4.name","Fresh","Fresh","Fresh"
"bar.bar-soft.4.desc","Свежевыжатые соки","Sucuri proaspăt stoarse","Freshly squeezed juices"
"bar.bar-soft.4.variant.0","Апельсин / Грейпфрут · 250 мл","Portocale / Grapefruit · 250 ml","Orange / Grapefruit · 250 ml"
"bar.bar-soft.4.variant.1","Гранат · 250 мл","Rodie · 250 ml","Pomegranate · 250 ml"
"bar.bar-soft.5.name","Borjomi","Borjomi","Borjomi"
"bar.bar-soft.5.desc","Легендарная грузинская минеральная вода","Legendara apă minerală georgiană","The legendary Georgian mineral water"
"bar.bar-soft.6.name","SNO / KOBI","SNO / KOBI","SNO / KOBI"
"bar.bar-soft.6.desc","Грузинская вода — плоская и минеральная","Apă georgiană — plată și minerală","Georgian water — still and mineral"
"bar.bar-soft.6.variant.0","SNO · 500 ml","SNO · 500 ml","SNO · 500 ml"
"bar.bar-soft.6.variant.1","SNO · 1 l","SNO · 1 l","SNO · 1 l"
"bar.bar-soft.6.variant.2","KOBI минеральная · 500 мл","KOBI minerală · 500 ml","KOBI mineral · 500 ml"
"bar.bar-soft.7.name","Софт-напитки","Băuturi răcoritoare","Soft drinks"
"bar.bar-soft.7.variant.0","Jaffa (апельсин/мультифрукт/томат/яблоко) · 250 мл","Jaffa (portocale/multifruct/roșii/mere) · 250 ml","Jaffa (orange/multifruit/tomato/apple) · 250 ml"
"bar.bar-soft.7.variant.1","Pepsi / 7UP / Mirinda · 250 ml","Pepsi / 7UP / Mirinda · 250 ml","Pepsi / 7UP / Mirinda · 250 ml"
"bar.bar-soft.7.variant.2","Evervess Tonic · 250 ml","Evervess Tonic · 250 ml","Evervess Tonic · 250 ml"
"bar.bar-soft.7.variant.3","Morshynska · 330 ml","Morshynska · 330 ml","Morshynska · 330 ml"
"bar.bar-soft.7.variant.4","Morshynska · 750 ml","Morshynska · 750 ml","Morshynska · 750 ml"
"dish.adjaruli.tagline","Хачапури-лодочка с яйцом и маслом","Luntre khachapuri cu ou și unt","Boat-shaped khachapuri with egg and butter"
"dish.adjaruli.category","Хачапури","Khachapuri","Khachapuri"
"dish.adjaruli.description","Лодочка из тёплого теста, доверху наполненная расплавленным сыром, с яичным желтком и кусочком масла в сердце. Перед едой всё перемешивают прямо в лодочке — и едят, отламывая хрустящие борта. Символ Аджарии и, пожалуй, самое узнаваемое блюдо Грузии.","O luntre din aluat cald, plină cu brânză topită, cu gălbenuș de ou și o bucată de unt în mijloc. Înainte de a mânca, totul se amestecă direct în luntre — și se mănâncă rupând marginile crocante. Simbolul Adjariei și, probabil, cel mai recunoscut fel georgian.","A boat of warm dough filled to the brim with molten cheese, an egg yolk and a knob of butter at its heart. Stir it all together right in the boat, then eat by tearing off the crispy edges. The symbol of Adjara and arguably Georgia's most recognisable dish."
"dish.adjaruli.ritual","Смешайте желток, масло и сыр вилкой, пока хачапури горячий. Отламывайте края и макайте — руками, как дома.","Amestecați gălbenușul, untul și brânza cu furculița cât e fierbinte. Rupeți marginile și înmuiați — cu mâinile, ca acasă.","Mix the yolk, butter and cheese with a fork while it's hot. Tear off the edges and dip — with your hands, like at home."
"dish.mama-hinkali.tagline","Гигантский хинкали на всю компанию","Hinkali gigant pentru toată compania","A giant khinkali for the whole table"
"dish.mama-hinkali.category","Хинкали","Hinkali","Khinkali"
"dish.mama-hinkali.description","Гастрономическое шоу: внутри одного гигантского хинкали «Мама» спрятаны пять сочных маленьких хинкали. Его выносят на стол целиком, режут при гостях, и это всегда маленький спектакль. Блюдо-повод: заказывают на компанию, фотографируют, делят по-братски.","Un spectacol gastronomic: în interiorul gigantului „Mama” se ascund cinci hinkali mici și suculenți. Se aduce întreg la masă și se taie în fața oaspeților — mereu un mic spectacol. Se comandă pentru toată compania, se fotografiază, se împarte frățește.","A gastronomic show: hidden inside one giant “Mama” khinkali are five juicy little ones. It arrives whole and is carved at the table — always a little performance. A dish you order for the whole party, photograph, and share."
"dish.mama-hinkali.ritual","Хинкали держат за «хвостик», надкусывают сбоку и сначала выпивают бульон. Хвостик оставляют на тарелке — так считают, сколько съедено.","Hinkali se ține de „codiță”, se mușcă dintr-o parte și mai întâi se bea zeama. Codițele rămân pe farfurie — așa se numără câte ați mâncat.","Hold a khinkali by its “tail”, bite the side and drink the broth first. Leave the tails on the plate — that's how you count how many you've had."
"dish.mtsvadi.tagline","Телятина на живых углях","Vițel pe cărbuni încinși","Veal over live coals"
"dish.mtsvadi.category","Мангал","Mangal","Charcoal grill"
"dish.mtsvadi.description","Крупные куски телятины, обожжённые на углях до дымной корочки, — без маринадов-заглушек, только мясо, соль и огонь. Подаётся с луком и соусом сацебели. Мцвади — сердце грузинского застолья: пока он жарится, стол уже накрыт и тосты уже звучат.","Bucăți mari de vițel, rumenite pe cărbuni până la o crustă afumată — fără marinate care ascund gustul: doar carne, sare și foc. Se servește cu ceapă și sos satsebeli. Mtsvadi e inima mesei georgiene: cât se frige, masa e deja pusă și toasturile au început.","Large cuts of veal seared over coals to a smoky crust — no masking marinades, just meat, salt and fire. Served with onions and satsebeli sauce. Mtsvadi is the heart of a Georgian feast: while it grills, the table is set and the toasts have begun."
"dish.mtsvadi.ritual","Ешьте с тёплым шоти и сацебели. Лук с шампура — не гарнир, а обязательная часть.","Mâncați cu shoti cald și satsebeli. Ceapa de pe frigăruie nu e garnitură — e parte obligatorie.","Eat it with warm shoti bread and satsebeli. The onions from the skewer are not a side — they're essential."
"dish.shkmeruli.tagline","Цыплёнок в чесночно-сливочном соусе","Pui în sos cremos de usturoi","Chicken in creamy garlic sauce"
